benchmark,strategy,n_agents,steps,topology,return,final_disagreement,consensus_error,msgs_sent,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
consensus,mean,20,60,ring_plus,-2.7282340889208936e-08,2.7282340889208936e-08,0.0016408928661126084,5040,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7358942085436929,0.9925317583695167,1.0,1.863792706410515e-07,-0.18178672071011878,9.0,1.0,1.399646125476325,1.3996461254763248,cons__mean,cons__mean,msg_drop,0.0,0,0
consensus,mean,20,60,ring_plus,-2.540133107053268e-07,2.540133107053268e-07,0.00048453446686209353,5400,0.0,0.0,0.0,0.0,5400.0,5400.0,1.0,0.0,172800.0,32.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7510183855869336,0.998411949153818,1.0,1.799818348342342e-06,-0.28470321147063804,12.0,1.0,1.320493917398932,1.320493917398932,cons__mean,cons__mean,msg_drop,0.0,1,0
consensus,mean,20,60,ring_plus,-8.168897270614256e-10,8.168897270614256e-10,0.0012440764529735126,6120,0.0,0.0,0.0,0.0,6120.0,6120.0,1.0,0.0,195840.0,32.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6822838278176631,0.9973996316268622,1.0,1.0277110011726397e-08,-0.30468541946906474,9.0,1.0,1.55469612182113,1.5546961218211295,cons__mean,cons__mean,msg_drop,0.0,2,0
consensus,mean,20,60,ring_plus,-1.44849267107655e-08,1.44849267107655e-08,0.019471394709923977,5040,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7101630463123513,0.9985650726029233,1.0,1.5671518029164446e-07,-0.43744331443948486,11.0,1.0,1.2627284000071304,1.2627284000071306,cons__mean,cons__mean,msg_drop,0.0,3,0
consensus,mean,20,60,ring_plus,-9.276754692133524e-08,9.276754692133524e-08,3.289845831358147e-05,5640,0.0,0.0,0.0,0.0,5640.0,5640.0,1.0,0.0,180480.0,32.0,0.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7473228203439312,0.9943839413436558,1.0,5.841762267377446e-07,-0.2570986057633667,9.0,1.0,1.3711704029417888,1.3711704029417888,cons__mean,cons__mean,msg_drop,0.0,4,0
consensus,mean,20,60,ring_plus,-2.3477787254070522e-08,2.3477787254070522e-08,0.0037162859002191975,6360,0.0,0.0,0.0,0.0,6360.0,6360.0,1.0,0.0,203520.0,32.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7191687973344563,0.9968099910770064,1.0,1.8721703839698926e-07,-0.25459691385321637,11.0,1.0,1.6160985120576443,1.616098512057644,cons__mean,cons__mean,msg_drop,0.0,5,0
consensus,mean,20,60,ring_plus,-5.570206765237664e-07,5.570206765237664e-07,5.444381155767587e-05,4680,0.0,0.0,0.0,0.0,4680.0,4680.0,1.0,0.0,149760.0,32.0,0.0,4680.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7682219554941994,0.9874776436152543,1.0,2.6186758839223734e-06,-0.35008555319065043,9.0,1.0,0.9450014459069909,0.9450014459069908,cons__mean,cons__mean,msg_drop,0.0,6,0
consensus,mean,20,60,ring_plus,-1.7240977534037544e-11,1.7240977534037544e-11,0.0002635716035891913,6480,0.0,0.0,0.0,0.0,6480.0,6480.0,1.0,0.0,207360.0,32.0,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6407059489560791,0.9952688870731727,1.0,2.826947437737647e-10,-0.32121842418855234,7.0,1.0,2.218617553571293,2.218617553571293,cons__mean,cons__mean,msg_drop,0.0,7,0
consensus,mean,20,60,ring_plus,-4.581667026258216e-05,4.581667026258216e-05,0.010348279756478822,4200,0.0,0.0,0.0,0.0,4200.0,4200.0,1.0,0.0,134400.0,32.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8317451493013875,0.9913815833731552,1.0,0.0001402144553736957,-0.2253599342497902,15.0,1.0,0.7964836768628718,0.7964836768628717,cons__mean,cons__mean,msg_drop,0.0,8,0
consensus,mean,20,60,ring_plus,-1.842855635986362e-05,1.842855635986362e-05,7.788988655482558e-06,5280,0.0,0.0,0.0,0.0,5280.0,5280.0,1.0,0.0,168960.0,32.0,0.0,5280.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8215139615751635,0.9869105412873541,1.0,5.994455747389067e-05,-0.2459001450238141,12.0,1.0,0.9413291035084279,0.9413291035084281,cons__mean,cons__mean,msg_drop,0.0,9,0
